uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
81,5.0,72259.3,412.91028571428575,175.0,1335.5,1335.5,1335.5,1.0,1335.5,1335.5,4.0,333.875,4.0,512.15,503.4125,0.022857142857142857,0.018482050061376182,4.0,0.0,1.0,0.0,0.0,91.3409299770376,365.3637199081504,,,365.3637199081504,
84,4.0,37190.1,442.7392857142857,84.0,166.8,166.8,166.8,1.0,166.8,166.8,1.0,166.8,1.0,6.300000000000001,6.300000000000001,0.011904761904761904,0.004485064573636533,1.0,0.0,1.0,0.0,0.0,36.17889578193344,36.17889578193344,,,36.17889578193344,
85,3.0,107520.2,392.40948905109485,274.0,3437.1,3437.1,1718.5500000000002,2.0,3437.1,3437.1,7.0,491.0142857142857,7.0,1288.85,1160.757142857143,0.025547445255474453,0.03196701643040099,3.5,0.0,2.0,0.0,0.0,65.33613346153888,457.3529342307721,,,228.67646711538606,
86,5.0,88744.2,430.79708737864075,206.0,1552.3,909.7,909.7,2.0,1819.4,909.7,2.5,363.88,5.0,662.8,598.9300000000001,0.024271844660194174,0.020501621514420098,2.5,1.0,1.0,0.5,0.5496317467296911,95.5236374605135,382.094549842054,7.169379331573962,7.169379331573962,382.094549842054,267.1
90,3.0,41485.1,395.0961904761905,105.0,2788.0,1961.65,1961.65,2.0,3923.2999999999997,1961.65,4.0,490.41249999999997,8.0,1244.3,784.0625,0.0761904761904762,0.09457130391393537,4.0,2.0,1.0,1.0,0.5097749343664773,85.13190016567108,510.7914009940265,68.33053613441258,136.66107226882517,255.39570049701322,559.3499999999999
92,1.0,40169.8,329.26065573770495,122.0,1254.1999999999998,1254.1999999999998,1254.1999999999998,1.0,1254.1999999999998,1254.1999999999998,4.0,313.54999999999995,4.0,2060.8,2036.175,0.03278688524590164,0.03122246065452155,4.0,1.0,1.0,1.0,0.7973210014351779,91.53852959870092,274.61558879610277,191.02545641877165,191.02545641877165,274.61558879610277,319.4
93,2.0,44787.6,367.11147540983603,122.0,4623.3,4623.3,1541.1000000000001,3.0,4623.3,4623.3,13.0,355.63846153846157,13.0,1309.45,1244.5807692307692,0.10655737704918032,0.10322723253757737,4.333333333333333,1.0,3.0,0.3333333333333333,0.21629571950771093,81.46778781808813,977.6134538170575,126.44481998089124,126.44481998089124,325.8711512723525,200.4
96,5.0,69893.4,379.85543478260865,184.0,1569.4,1569.4,1569.4,1.0,1569.4,1569.4,5.0,313.88,5.0,1352.1,1341.1,0.02717391304347826,0.02245419453052792,5.0,0.0,1.0,0.0,0.0,78.00601385518738,390.03006927593685,,,390.03006927593685,
97,1.0,82516.0,441.2620320855615,187.0,1152.2,1152.2,1152.2,1.0,1152.2,1152.2,5.0,230.44,5.0,1944.4,1934.2,0.026737967914438502,0.013963352561927385,5.0,0.0,1.0,0.0,0.0,99.66600575206152,498.33002876030764,,,498.33002876030764,
100,4.0,115022.7,461.93855421686743,249.0,4039.8,4039.8,4039.8,1.0,4039.8,4039.8,9.0,448.8666666666667,9.0,1203.5,1190.1055555555556,0.03614457831325301,0.03512176292157983,9.0,2.0,1.0,2.0,0.495074013565028,85.29322546930885,597.052578285162,176.18119077281642,352.36238154563284,597.052578285162,367.3
101,2.0,62835.8,455.331884057971,138.0,1235.3,1235.3,1235.3,1.0,1235.3,1235.3,4.0,308.825,4.0,890.25,883.525,0.028985507246376812,0.019659175183573692,4.0,0.0,1.0,0.0,0.0,93.9644460144275,375.85778405771,,,375.85778405771,
103,3.0,11019.8,355.4774193548387,31.0,1569.5,1569.5,1569.5,1.0,1569.5,1569.5,4.0,392.375,4.0,405.65,396.9625,0.12903225806451613,0.14242545236755658,4.0,0.0,1.0,0.0,0.0,82.15947336015591,328.63789344062366,,,328.63789344062366,
105,4.0,90284.9,412.25981735159814,219.0,2153.2999999999997,1710.8999999999999,1710.8999999999999,2.0,3421.7999999999997,1710.8999999999999,4.5,380.2,9.0,744.95,576.5222222222222,0.0410958904109589,0.03790002536415281,4.5,0.0,1.0,0.0,0.0,80.72354744300631,726.5119269870568,,,363.2559634935284,
109,1.0,29499.5,351.1845238095238,84.0,217.0,217.0,217.0,1.0,217.0,217.0,1.0,217.0,1.0,364.35,364.35,0.011904761904761904,0.00735605688232004,1.0,1.0,1.0,1.0,4.608294930875576,,,52.64465784863634,52.64465784863634,,217.0
113,4.0,50290.1,437.3052173913043,115.0,2520.8,2520.8,2520.8,1.0,2520.8,2520.8,4.0,630.2,4.0,439.95,424.2875,0.034782608695652174,0.05012517374194921,4.0,0.0,1.0,0.0,0.0,76.47808710893341,305.91234843573363,,,305.91234843573363,
114,3.0,59110.2,358.24363636363637,165.0,2370.1,2370.1,2370.1,1.0,2370.1,2370.1,5.0,474.02,5.0,236.5,216.28000000000003,0.030303030303030304,0.04009629471732459,5.0,0.0,1.0,0.0,0.0,63.20959424505838,316.0479712252919,,,316.0479712252919,
115,9.0,77599.1,406.2780104712042,191.0,183.6,183.6,183.6,1.0,183.6,183.6,1.0,183.6,1.0,360.8,360.8,0.005235602094240838,0.0023660068222440722,1.0,0.0,1.0,0.0,0.0,46.30097191204517,46.30097191204517,,,46.30097191204517,
116,2.0,79462.1,424.93101604278075,187.0,1922.5,1603.9,1603.9,2.0,3207.8,1603.9,5.0,320.78000000000003,10.0,594.6,479.93999999999994,0.053475935828877004,0.04036893059710227,5.0,0.0,1.0,0.0,0.0,85.10365862628139,851.0365862628139,,,425.51829313140695,
117,6.0,83820.9,401.05693779904306,209.0,2987.9,1944.65,1944.65,2.0,3889.3,1944.65,5.0,388.93,10.0,1086.5,574.28,0.04784688995215311,0.04640012216523565,5.0,1.0,1.0,0.5,0.2571156763427866,84.67367432159354,762.0630688943419,273.37858822519377,273.37858822519377,381.03153444717094,702.5
118,2.0,52081.2,491.3320754716981,106.0,818.3,818.3,818.3,1.0,818.3,818.3,4.0,204.575,4.0,694.75,689.875,0.03773584905660377,0.015712003563665967,4.0,0.0,1.0,0.0,0.0,72.40373412243757,289.6149364897503,,,289.6149364897503,
119,6.0,70061.4,389.22999999999996,180.0,2186.6,1245.8333333333333,1245.8333333333333,3.0,3737.5,1245.8333333333333,3.6666666666666665,339.77272727272725,11.0,441.2000000000001,405.60909090909087,0.06111111111111111,0.05334606502296557,3.6666666666666665,2.0,1.0,0.6666666666666666,0.5351170568561873,71.60270344437373,644.4243309993635,130.6325209313537,261.2650418627074,214.80811033312116,317.2
120,5.0,60682.7,477.81653543307084,127.0,2987.7,2837.95,1891.9666666666665,3.0,5675.9,2837.95,6.0,472.9916666666666,12.0,498.0,326.49583333333334,0.09448818897637795,0.09353407148989745,4.0,0.0,1.5,0.0,0.0,54.54226767078696,654.5072120494435,,,218.16907068314785,
123,10.0,132695.3,394.9264880952381,336.0,935.0,935.0,935.0,1.0,935.0,935.0,4.0,233.75,4.0,954.1,948.875,0.011904761904761904,0.007046217914274282,4.0,0.0,1.0,0.0,0.0,81.36539197652625,325.461567906105,,,325.461567906105,
124,1.0,38365.0,462.2289156626506,83.0,2603.9,2603.9,2603.9,1.0,2603.9,2603.9,5.0,520.78,5.0,1023.5,1010.68,0.060240963855421686,0.06787175811286329,5.0,0.0,1.0,0.0,0.0,87.37830843220601,436.89154216103003,,,436.89154216103003,
126,11.0,60062.5,438.4124087591241,137.0,2236.8,1891.7666666666667,1891.7666666666667,3.0,5675.3,1891.7666666666667,4.666666666666667,405.37857142857143,14.0,1519.75,724.225,0.10218978102189781,0.09448990634755464,4.666666666666667,1.0,1.0,0.3333333333333333,0.17620213909396862,76.39393992641929,993.1212190434509,60.20008305642104,60.20008305642104,331.040406347817,350.5
127,6.0,110668.5,391.0547703180212,283.0,2838.3,2306.3,1537.5333333333335,3.0,4612.6,2306.3,6.0,384.3833333333334,12.0,1950.95,1072.6791666666666,0.04240282685512368,0.04167943000944262,4.0,1.0,1.5,0.3333333333333333,0.21679746780557602,87.37758931747075,961.1534824921782,113.93770227628777,113.93770227628777,320.3844941640594,835.1
